,t,n
0,12,500
1,24,234
2,36,266
3,48,122
4,60,112
5,72,133
6,84,500
7,96,250
8,108,250
9,120,126
10,132,124
11,144,63
12,156,63
13,168,62
14,180,500
15,192,250
16,204,250
17,216,125
18,228,125
19,240,62
20,252,63
21,264,63
22,276,31
23,288,500
24,300,250
25,312,250
26,324,125
27,336,125
28,348,62
29,360,62
30,372,500
31,384,250
32,396,250
33,408,125
34,420,125
35,432,63
36,444,62
37,456,62
38,468,500
39,480,250
40,492,250
41,504,125
42,516,125
43,528,63
44,540,63
45,552,62
46,564,32
47,576,62
48,588,500
