,t,precision,n
0,12,0.012,500
1,24,0.01282051282051282,234
2,36,0.011278195488721804,266
3,48,0.01639344262295082,122
4,60,0.008928571428571428,112
5,72,0.015037593984962405,133
6,84,0.012,500
7,96,0.016,250
8,108,0.008,250
9,120,0.007936507936507936,126
10,132,0.008064516129032258,124
11,144,0.015873015873015872,63
12,156,0.0,63
13,168,0.0,62
14,180,0.012,500
15,192,0.004,250
16,204,0.02,250
17,216,0.008,125
18,228,0.0,125
19,240,0.016129032258064516,62
20,252,0.0,63
21,264,0.0,63
22,276,0.0,31
23,288,0.012,500
24,300,0.004,250
25,312,0.02,250
26,324,0.008,125
27,336,0.0,125
28,348,0.0,62
29,360,0.0,62
30,372,0.012,500
31,384,0.02,250
32,396,0.004,250
33,408,0.008,125
34,420,0.0,125
35,432,0.0,63
36,444,0.0,62
37,456,0.0,62
38,468,0.012,500
39,480,0.004,250
40,492,0.02,250
41,504,0.008,125
42,516,0.0,125
43,528,0.0,63
44,540,0.015873015873015872,63
45,552,0.0,62
46,564,0.0,32
47,576,0.0,62
48,588,0.012,500
