,t,recall,n
0,12,1.0,300
1,24,0.16666666666666666,141
2,36,0.8333333333333334,159
3,48,0.6666666666666666,82
4,60,0.16666666666666666,77
5,72,0.16666666666666666,41
6,84,0.16666666666666666,67
7,96,1.0,300
8,108,0.8333333333333334,150
9,120,0.16666666666666666,150
10,132,0.6666666666666666,75
11,144,0.0,75
12,156,0.16666666666666666,75
13,168,0.16666666666666666,75
14,180,1.0,300
15,192,0.6666666666666666,150
16,204,0.3333333333333333,150
17,216,0.0,75
18,228,0.3333333333333333,75
19,240,0.3333333333333333,75
20,252,0.0,37
21,264,0.3333333333333333,75
22,276,1.0,300
23,288,0.16666666666666666,150
24,300,0.8333333333333334,150
25,312,0.16666666666666666,75
26,324,0.0,75
27,336,0.16666666666666666,37
28,348,0.8333333333333334,75
29,360,1.0,300
30,372,0.8333333333333334,150
31,384,0.16666666666666666,150
32,396,0.0,75
33,408,0.16666666666666666,75
34,420,0.0,38
35,432,0.0,38
36,444,0.8333333333333334,75
37,456,1.0,300
38,468,0.8333333333333334,150
39,480,0.16666666666666666,150
40,492,0.16666666666666666,75
41,504,0.0,75
42,516,0.0,37
43,528,0.0,38
44,540,0.16666666666666666,75
45,552,1.0,300
46,564,0.8333333333333334,150
47,576,0.16666666666666666,150
48,588,0.0,75
