,x,y,t
0,1,6.152577717728395,0.0022726058959960938
1,2,6.152577717728395,0.0029294490814208984
2,3,6.152577717728395,0.003581523895263672
3,4,6.152577717728395,0.005374431610107422
4,5,6.152577717728395,0.006020069122314453
5,6,6.750416653623114,0.0066623687744140625
6,7,7.549368353315097,0.008400917053222656
7,8,7.549368353315097,0.009054183959960938
8,9,7.549368353315097,0.009701251983642578
9,10,7.549368353315097,0.011480093002319336
10,11,8.127817761858903,0.012120723724365234
11,12,8.127817761858903,0.012757062911987305
12,13,8.127817761858903,37.593663454055786
13,14,8.127817761858903,37.59718060493469
14,15,8.127817761858903,37.60054659843445
15,16,9.433390808241514,37.60389041900635
16,17,9.433390808241514,37.61763954162598
17,18,10.888466966936651,37.621002197265625
18,19,10.888466966936651,37.62437105178833
19,20,10.888466966936651,37.62771153450012
20,21,10.888466966936651,37.63105320930481
21,22,10.888466966936651,37.63443875312805
22,23,10.888466966936651,80.93615865707397
23,24,10.888466966936651,80.94999814033508
24,25,10.888466966936651,80.95337224006653
25,26,10.888466966936651,80.95676898956299
26,27,10.888466966936651,80.96016788482666
27,28,10.888466966936651,80.96352553367615
28,29,11.422708504181545,80.98286247253418
29,30,11.422708504181545,80.98621535301208
30,31,11.422708504181545,80.98958349227905
31,32,11.422708504181545,80.99292588233948
32,33,11.422708504181545,119.80518531799316
33,34,11.422708504181545,119.80865478515625
34,35,11.422708504181545,119.81208777427673
35,36,11.422708504181545,119.81551432609558
36,37,11.422708504181545,119.81891131401062
37,38,11.422708504181545,119.82235789299011
38,39,11.422708504181545,119.82575035095215
39,40,11.547137818983652,119.82913088798523
40,41,11.547137818983652,119.83254957199097
41,42,11.547137818983652,119.8359649181366
42,43,11.547137818983652,163.27717185020447
43,44,11.547137818983652,163.28056979179382
44,45,11.547137818983652,163.28394293785095
45,46,11.547137818983652,163.2873194217682
46,47,11.547137818983652,163.29066634178162
47,48,11.547137818983652,163.3175926208496
48,49,11.547137818983652,163.32094407081604
49,50,11.547137818983652,163.3242757320404
50,51,11.547137818983652,163.33232593536377
51,52,11.547137818983652,163.33573007583618
52,53,11.547137818983652,211.97444224357605
53,54,11.547137818983652,211.9778356552124
54,55,11.547137818983652,211.9970645904541
55,56,11.547137818983652,211.99973797798157
56,57,11.547137818983652,212.0028064250946
57,58,11.547137818983652,212.00616908073425
58,59,11.547137818983652,212.01975417137146
59,60,11.547137818983652,212.02303814888
60,61,11.547137818983652,212.0263638496399
61,62,11.547137818983652,212.02965593338013
62,63,11.547137818983652,258.8656551837921
63,64,11.547137818983652,258.86929202079773
64,65,11.547137818983652,258.88319730758667
65,66,13.413528539663757,258.88684582710266
66,67,13.413528539663757,258.89047384262085
67,68,13.413528539663757,258.9044806957245
68,69,13.413528539663757,258.90810203552246
69,70,13.413528539663757,258.9116916656494
70,71,13.424941855475849,258.91836810112
71,72,13.424941855475849,258.93233251571655
72,73,13.424941855475849,308.3640329837799
73,74,13.424941855475849,308.36765813827515
74,75,13.424941855475849,308.37129497528076
75,76,13.424941855475849,308.39091324806213
76,77,13.424941855475849,308.394544839859
77,78,13.424941855475849,308.39816308021545
78,79,13.424941855475849,308.4017970561981
79,80,13.424941855475849,308.40541315078735
80,81,13.424941855475849,308.40902733802795
81,82,13.424941855475849,308.4126501083374
82,83,14.516113840310524,356.0742259025574
83,84,14.516113840310524,356.1059172153473
84,85,14.516113840310524,356.10949182510376
85,86,14.516113840310524,356.1130805015564
86,87,14.516113840310524,356.1166594028473
87,88,15.104745937470717,356.1202735900879
88,89,15.104745937470717,356.12389612197876
89,90,15.124300916336965,356.1276214122772
90,91,15.124300916336965,356.13123297691345
91,92,15.124300916336965,356.1348557472229
92,93,15.663866498434178,401.1140158176422
93,94,15.663866498434178,401.1175947189331
94,95,15.663866498434178,401.1371874809265
95,96,15.663866498434178,401.14074063301086
96,97,15.663866498434178,401.14430975914
97,98,16.165020519539517,401.1477949619293
98,99,16.165020519539517,401.15130591392517
99,100,16.578792745931796,401.1548156738281
100,101,16.578792745931796,401.1599380970001
101,102,16.578792745931796,401.163537979126
102,103,16.578792745931796,450.30092096328735
103,104,16.578792745931796,450.30621314048767
104,105,16.578792745931796,450.3098545074463
105,106,16.952022129013717,450.3135061264038
106,107,16.952022129013717,450.31711506843567
107,108,16.952022129013717,450.3207302093506
108,109,16.952022129013717,450.32431077957153
109,110,16.952022129013717,450.32792711257935
110,111,16.952022129013717,450.3315541744232
111,112,16.952022129013717,450.3351674079895
112,113,16.952022129013717,496.218444108963
113,114,16.952022129013717,496.2221260070801
114,115,17.087867541351326,496.2257800102234
115,116,17.087867541351326,496.22940135002136
116,117,17.087867541351326,496.24906826019287
117,118,17.206960330409068,496.2532844543457
118,119,17.206960330409068,496.2573699951172
119,120,17.206960330409068,496.260986328125
120,121,17.206960330409068,496.26461601257324
121,122,17.737046360531338,496.2842791080475
122,123,17.737046360531338,541.1722531318665
123,124,17.737046360531338,541.1759011745453
124,125,17.737046360531338,541.1819250583649
125,126,17.737046360531338,541.185553073883
126,127,17.737046360531338,541.1995697021484
127,128,17.737046360531338,541.2031328678131
128,129,17.737046360531338,541.2067317962646
129,130,17.737046360531338,541.2102937698364
130,131,17.737046360531338,541.2287971973419
131,132,17.737046360531338,541.232349395752
132,133,17.737046360531338,635.4975888729095
133,134,17.737046360531338,635.501234292984
134,135,17.737046360531338,635.5048186779022
135,136,17.737046360531338,635.518794298172
136,137,17.737046360531338,635.5223953723907
137,138,17.737046360531338,635.5364036560059
138,139,17.737046360531338,635.5399994850159
