,t,precision,n
0,12,0.012,500
1,24,0.01293103448275862,232
2,36,0.011194029850746268,268
3,48,0.01680672268907563,119
4,60,0.008849557522123894,113
5,72,0.0,58
6,84,0.012,500
7,96,0.01195219123505976,251
8,108,0.012048192771084338,249
9,120,0.015873015873015872,126
10,132,0.008,125
11,144,0.008,125
12,156,0.0,63
13,168,0.016129032258064516,124
14,180,0.012,500
15,192,0.008,250
16,204,0.016,250
17,216,0.016,125
18,228,0.016,125
19,240,0.016,125
20,252,0.016129032258064516,62
21,264,0.012,500
22,276,0.012,250
23,288,0.012,250
24,300,0.008,125
25,312,0.016,125
26,324,0.016129032258064516,62
27,336,0.016,125
28,348,0.012,500
29,360,0.012,250
30,372,0.012,250
31,384,0.016,125
32,396,0.008,125
33,408,0.008,125
34,420,0.015873015873015872,63
35,432,0.015873015873015872,63
36,444,0.016129032258064516,62
37,456,0.012,500
38,468,0.012,250
39,480,0.012,250
40,492,0.008,125
41,504,0.016,125
42,516,0.016,125
43,528,0.016129032258064516,62
44,540,0.012,500
45,552,0.016,250
46,564,0.008,250
47,576,0.016,125
48,588,0.016,125
