,t,n
0,12,500
1,24,232
2,36,268
3,48,119
4,60,113
5,72,58
6,84,500
7,96,251
8,108,249
9,120,126
10,132,125
11,144,125
12,156,63
13,168,124
14,180,500
15,192,250
16,204,250
17,216,125
18,228,125
19,240,125
20,252,62
21,264,500
22,276,250
23,288,250
24,300,125
25,312,125
26,324,62
27,336,125
28,348,500
29,360,250
30,372,250
31,384,125
32,396,125
33,408,125
34,420,63
35,432,63
36,444,62
37,456,500
38,468,250
39,480,250
40,492,125
41,504,125
42,516,125
43,528,62
44,540,500
45,552,250
46,564,250
47,576,125
48,588,125
