,t,recall,n
0,12,1.0,500
1,24,0.5,232
2,36,0.5,268
3,48,0.3333333333333333,119
4,60,0.16666666666666666,113
5,72,0.0,58
6,84,1.0,500
7,96,0.5,251
8,108,0.5,249
9,120,0.3333333333333333,126
10,132,0.16666666666666666,125
11,144,0.16666666666666666,125
12,156,0.0,63
13,168,0.3333333333333333,124
14,180,1.0,500
15,192,0.3333333333333333,250
16,204,0.6666666666666666,250
17,216,0.3333333333333333,125
18,228,0.3333333333333333,125
19,240,0.3333333333333333,125
20,252,0.16666666666666666,62
21,264,1.0,500
22,276,0.5,250
23,288,0.5,250
24,300,0.16666666666666666,125
25,312,0.3333333333333333,125
26,324,0.16666666666666666,62
27,336,0.3333333333333333,125
28,348,1.0,500
29,360,0.5,250
30,372,0.5,250
31,384,0.3333333333333333,125
32,396,0.16666666666666666,125
33,408,0.16666666666666666,125
34,420,0.16666666666666666,63
35,432,0.16666666666666666,63
36,444,0.16666666666666666,62
37,456,1.0,500
38,468,0.5,250
39,480,0.5,250
40,492,0.16666666666666666,125
41,504,0.3333333333333333,125
42,516,0.3333333333333333,125
43,528,0.16666666666666666,62
44,540,1.0,500
45,552,0.6666666666666666,250
46,564,0.3333333333333333,250
47,576,0.3333333333333333,125
48,588,0.3333333333333333,125
