,t,recall,n
0,12,1.0,50
1,24,0.5,26
2,36,0.5,24
3,48,0.3,13
4,60,0.2,12
5,72,0.2,13
6,84,0.3,12
7,96,1.0,50
8,108,0.6,24
9,120,0.4,26
10,132,0.1,13
11,144,0.4,12
12,156,0.3,13
13,168,0.2,12
14,180,1.0,50
15,192,0.7,25
16,204,0.3,25
17,216,0.0,13
18,228,0.4,13
19,240,0.3,12
20,252,0.3,12
21,264,1.0,50
22,276,0.3,25
23,288,0.7,25
24,300,0.0,13
25,312,0.3,13
26,324,0.3,12
27,336,0.4,12
28,348,1.0,50
29,360,0.3,25
30,372,0.7,25
31,384,0.1,13
32,396,0.2,13
33,408,0.2,12
34,420,0.5,12
35,432,1.0,50
36,444,0.3,25
37,456,0.7,25
38,468,0.0,13
39,480,0.5,12
40,492,0.3,12
41,504,0.2,13
42,516,1.0,50
43,528,0.3,25
44,540,0.7,25
45,552,0.0,13
46,564,0.5,12
47,576,0.3,12
48,588,0.2,13
