,t,precision,n
0,12,0.2,50
1,24,0.19230769230769232,26
2,36,0.20833333333333334,24
3,48,0.23076923076923078,13
4,60,0.16666666666666666,12
5,72,0.15384615384615385,13
6,84,0.25,12
7,96,0.2,50
8,108,0.25,24
9,120,0.15384615384615385,26
10,132,0.07692307692307693,13
11,144,0.3333333333333333,12
12,156,0.23076923076923078,13
13,168,0.16666666666666666,12
14,180,0.2,50
15,192,0.28,25
16,204,0.12,25
17,216,0.0,13
18,228,0.3076923076923077,13
19,240,0.25,12
20,252,0.25,12
21,264,0.2,50
22,276,0.12,25
23,288,0.28,25
24,300,0.0,13
25,312,0.23076923076923078,13
26,324,0.25,12
27,336,0.3333333333333333,12
28,348,0.2,50
29,360,0.12,25
30,372,0.28,25
31,384,0.07692307692307693,13
32,396,0.15384615384615385,13
33,408,0.16666666666666666,12
34,420,0.4166666666666667,12
35,432,0.2,50
36,444,0.12,25
37,456,0.28,25
38,468,0.0,13
39,480,0.4166666666666667,12
40,492,0.25,12
41,504,0.15384615384615385,13
42,516,0.2,50
43,528,0.12,25
44,540,0.28,25
45,552,0.0,13
46,564,0.4166666666666667,12
47,576,0.25,12
48,588,0.15384615384615385,13
