,t,recall,n
0,12,1.0,300
1,24,0.3,171
2,36,0.7,129
3,48,0.1,82
4,60,0.3,61
5,72,0.2,89
6,84,0.1,44
7,96,1.0,300
8,108,0.2,150
9,120,0.8,150
10,132,0.0,75
11,144,0.3,75
12,156,0.2,75
13,168,0.5,75
14,180,1.0,300
15,192,0.8,150
16,204,0.2,150
17,216,0.1,75
18,228,0.2,75
19,240,0.1,75
20,252,0.6,75
21,264,1.0,300
22,276,0.8,150
23,288,0.2,150
24,300,0.2,75
25,312,0.7,75
26,324,0.0,75
27,336,0.1,75
28,348,1.0,300
29,360,0.8,150
30,372,0.2,150
31,384,0.0,75
32,396,0.1,75
33,408,0.2,75
34,420,0.7,75
35,432,1.0,300
36,444,0.8,150
37,456,0.2,150
38,468,0.0,75
39,480,0.1,75
40,492,0.2,75
41,504,0.7,75
42,516,1.0,300
43,528,0.2,150
44,540,0.8,150
45,552,0.0,75
46,564,0.7,75
47,576,0.2,75
48,588,0.1,75
