,t,recall,n
0,12,1.0,300
1,24,0.7,152
2,36,0.3,148
3,48,0.5,74
4,60,0.2,75
5,72,0.1,73
6,84,1.0,300
7,96,0.6,150
8,108,0.4,150
9,120,0.2,75
10,132,0.1,75
11,144,0.2,75
12,156,0.5,75
13,168,1.0,300
14,180,0.3,150
15,192,0.7,150
16,204,0.1,75
17,216,0.3,75
18,228,0.2,75
19,240,0.4,75
20,252,1.0,300
21,264,0.3,150
22,276,0.7,150
23,288,0.2,75
24,300,0.5,75
25,312,0.1,75
26,324,0.2,75
27,336,1.0,300
28,348,0.3,150
29,360,0.7,150
30,372,0.1,75
31,384,0.5,75
32,396,0.2,75
33,408,0.2,75
34,420,1.0,300
35,432,0.7,150
36,444,0.3,150
37,456,0.1,75
38,468,0.2,75
39,480,0.2,75
40,492,0.5,75
41,504,1.0,300
42,516,0.3,150
43,528,0.7,150
44,540,0.1,75
45,552,0.1,75
46,564,0.2,75
47,576,0.6,75
48,588,1.0,300
