,t,recall,n
0,12,1.0,300
1,24,0.4,146
2,36,0.6,154
3,48,0.2,75
4,60,0.3,72
5,72,0.4,79
6,84,0.1,74
7,96,1.0,300
8,108,0.4,150
9,120,0.6,150
10,132,0.3,75
11,144,0.1,75
12,156,0.3,75
13,168,1.0,300
14,180,0.8,150
15,192,0.2,150
16,204,0.1,75
17,216,0.4,75
18,228,0.1,75
19,240,0.4,75
20,252,1.0,300
21,264,0.2,150
22,276,0.8,150
23,288,0.1,75
24,300,0.3,75
25,312,0.1,75
26,324,0.5,75
27,336,1.0,300
28,348,0.9,150
29,360,0.1,150
30,372,0.1,75
31,384,0.5,75
32,396,0.0,75
33,408,0.4,75
34,420,1.0,300
35,432,0.9,150
36,444,0.1,150
37,456,0.0,75
38,468,0.5,75
39,480,0.1,75
40,492,0.4,75
41,504,1.0,300
42,516,0.9,150
43,528,0.1,150
44,540,0.1,75
45,552,0.5,75
46,564,0.0,75
47,576,0.4,75
48,588,1.0,300
