,x,y
0,1,-218.73362933075222
1,2,-43.37001083078788
2,3,-43.37001083078788
3,4,-43.37001083078788
4,5,-43.37001083078788
5,6,-43.37001083078788
6,7,-43.37001083078788
7,8,-43.37001083078788
8,9,-27.330437643323126
9,10,-27.330437643323126
10,11,-27.330437643323126
11,12,-27.330437643323126
12,13,-27.330437643323126
13,14,-27.330437643323126
14,15,-27.330437643323126
15,16,-27.330437643323126
16,17,-27.330437643323126
17,18,-27.330437643323126
18,19,-27.330437643323126
19,20,-27.330437643323126
20,21,-27.330437643323126
21,22,-27.330437643323126
22,23,-27.330437643323126
23,24,-27.330437643323126
24,25,-27.330437643323126
25,26,-27.330437643323126
26,27,-27.330437643323126
27,28,-27.330437643323126
28,29,-27.330437643323126
29,30,-27.330437643323126
30,31,-27.330437643323126
31,32,-27.330437643323126
32,33,-27.330437643323126
33,34,-27.330437643323126
34,35,-27.330437643323126
35,36,-27.330437643323126
36,37,-27.330437643323126
37,38,-27.330437643323126
38,39,-27.330437643323126
39,40,-27.330437643323126
40,41,-27.330437643323126
41,42,-27.330437643323126
42,43,-27.330437643323126
43,44,-27.330437643323126
44,45,-27.330437643323126
45,46,-27.330437643323126
46,47,-25.929039805206948
47,48,-25.929039805206948
48,49,-25.929039805206948
49,50,-25.929039805206948
50,51,-25.929039805206948
51,52,-25.929039805206948
52,53,-25.929039805206948
53,54,-25.929039805206948
54,55,-25.929039805206948
55,56,-25.929039805206948
56,57,-17.974124411124517
57,58,-17.974124411124517
58,59,-17.974124411124517
59,60,-17.974124411124517
60,61,-17.974124411124517
61,62,-17.974124411124517
62,63,-17.974124411124517
63,64,-17.974124411124517
64,65,-17.974124411124517
65,66,-17.974124411124517
66,67,-17.974124411124517
67,68,-17.974124411124517
68,69,-17.974124411124517
69,70,-17.974124411124517
70,71,-17.974124411124517
71,72,-17.974124411124517
72,73,-17.974124411124517
73,74,-13.555083272865197
74,75,-13.555083272865197
75,76,-13.555083272865197
76,77,-13.555083272865197
77,78,-13.555083272865197
78,79,-13.555083272865197
79,80,-13.555083272865197
80,81,-13.555083272865197
81,82,-13.555083272865197
82,83,-13.555083272865197
83,84,-13.555083272865197
84,85,-13.294158843214813
85,86,-13.294158843214813
86,87,-13.294158843214813
87,88,-13.294158843214813
88,89,-13.294158843214813
89,90,-13.294158843214813
90,91,-13.294158843214813
91,92,-13.294158843214813
92,93,-13.294158843214813
93,94,-12.242133664860686
94,95,-12.242133664860686
95,96,-12.242133664860686
96,97,-12.242133664860686
97,98,-12.242133664860686
98,99,-12.242133664860686
99,100,-12.242133664860686
100,101,-12.242133664860686
101,102,-12.242133664860686
102,103,-12.242133664860686
103,104,-12.242133664860686
104,105,-12.242133664860686
105,106,-12.242133664860686
106,107,-12.242133664860686
107,108,-12.242133664860686
108,109,-12.242133664860686
109,110,-12.242133664860686
110,111,-12.242133664860686
111,112,-12.242133664860686
112,113,-10.785705741072075
113,114,-10.785705741072075
114,115,-10.785705741072075
115,116,-10.785705741072075
116,117,-10.785705741072075
117,118,-9.971245507793848
118,119,-9.971245507793848
119,120,-9.971245507793848
120,121,-9.971245507793848
121,122,-9.971245507793848
122,123,-9.971245507793848
123,124,-9.971245507793848
124,125,-9.971245507793848
125,126,-9.971245507793848
126,127,-9.971245507793848
127,128,-9.971245507793848
128,129,-9.971245507793848
129,130,-9.971245507793848
130,131,-9.971245507793848
131,132,-9.971245507793848
132,133,-9.971245507793848
133,134,-9.971245507793848
134,135,-9.971245507793848
135,136,-9.719638121687916
136,137,-9.719638121687916
137,138,-9.719638121687916
138,139,-9.719638121687916
139,140,-9.718048084223538
140,141,-9.386581658748927
141,142,-9.386581658748927
142,143,-9.386581658748927
143,144,-9.386581658748927
144,145,-9.313216769192621
145,146,-9.313216769192621
146,147,-9.313216769192621
147,148,-9.313216769192621
148,149,-9.1525758385406
149,150,-9.1525758385406
150,151,-9.11153266258346
151,152,-9.11153266258346
152,153,-9.11153266258346
153,154,-9.11153266258346
154,155,-9.11153266258346
155,156,-9.11153266258346
156,157,-9.11153266258346
157,158,-9.11153266258346
158,159,-9.11153266258346
159,160,-9.11153266258346
160,161,-9.11153266258346
161,162,-9.11153266258346
162,163,-9.11153266258346
163,164,-9.11153266258346
164,165,-9.11153266258346
165,166,-9.11153266258346
166,167,-9.11153266258346
167,168,-9.11153266258346
168,169,-9.11153266258346
169,170,-9.11153266258346
170,171,-9.11153266258346
171,172,-9.022737457579906
172,173,-9.022737457579906
173,174,-9.022737457579906
174,175,-9.022737457579906
175,176,-9.022737457579906
176,177,-9.022737457579906
177,178,-9.022737457579906
178,179,-9.022737457579906
179,180,-9.022737457579906
180,181,-9.022737457579906
181,182,-9.022737457579906
182,183,-9.022737457579906
183,184,-9.022737457579906
184,185,-9.022737457579906
185,186,-9.022737457579906
186,187,-9.022737457579906
187,188,-9.022737457579906
188,189,-9.022737457579906
189,190,-9.022737457579906
190,191,-9.022737457579906
191,192,-9.022737457579906
192,193,-9.022737457579906
193,194,-9.022737457579906
194,195,-9.022737457579906
195,196,-9.022737457579906
196,197,-9.022737457579906
197,198,-9.022737457579906
198,199,-9.022737457579906
199,200,-9.022737457579906
200,201,-9.022737457579906
201,202,-9.022737457579906
202,203,-9.022737457579906
