,t,recall,n
0,12,1.0,50
1,24,0.2,25
2,36,0.8,25
3,48,0.1,13
4,60,0.3,12
5,72,0.1,12
6,84,0.1,5
7,96,1.0,50
8,108,0.8,25
9,120,0.2,25
10,132,0.2,12
11,144,0.4,13
12,156,0.0,13
13,168,0.4,12
14,180,1.0,50
15,192,0.8,25
16,204,0.2,25
17,216,0.2,12
18,228,0.3,13
19,240,0.0,13
20,252,0.0,6
21,264,0.5,12
22,276,1.0,50
23,288,0.8,25
24,300,0.2,25
25,312,0.0,13
26,324,0.3,13
27,336,0.2,12
28,348,0.5,12
29,360,1.0,50
30,372,0.8,25
31,384,0.2,25
32,396,0.0,13
33,408,0.3,13
34,420,0.2,12
35,432,0.5,12
36,444,1.0,50
37,456,0.2,25
38,468,0.8,25
39,480,0.2,12
40,492,0.3,13
41,504,0.0,13
42,516,0.5,12
43,528,1.0,50
44,540,0.8,25
45,552,0.2,25
46,564,0.2,12
47,576,0.5,12
48,588,0.0,13
