,t,precision,n
0,12,0.2,50
1,24,0.08,25
2,36,0.32,25
3,48,0.07692307692307693,13
4,60,0.25,12
5,72,0.08333333333333333,12
6,84,0.2,5
7,96,0.2,50
8,108,0.32,25
9,120,0.08,25
10,132,0.16666666666666666,12
11,144,0.3076923076923077,13
12,156,0.0,13
13,168,0.3333333333333333,12
14,180,0.2,50
15,192,0.32,25
16,204,0.08,25
17,216,0.16666666666666666,12
18,228,0.23076923076923078,13
19,240,0.0,13
20,252,0.0,6
21,264,0.4166666666666667,12
22,276,0.2,50
23,288,0.32,25
24,300,0.08,25
25,312,0.0,13
26,324,0.23076923076923078,13
27,336,0.16666666666666666,12
28,348,0.4166666666666667,12
29,360,0.2,50
30,372,0.32,25
31,384,0.08,25
32,396,0.0,13
33,408,0.23076923076923078,13
34,420,0.16666666666666666,12
35,432,0.4166666666666667,12
36,444,0.2,50
37,456,0.08,25
38,468,0.32,25
39,480,0.16666666666666666,12
40,492,0.23076923076923078,13
41,504,0.0,13
42,516,0.4166666666666667,12
43,528,0.2,50
44,540,0.32,25
45,552,0.08,25
46,564,0.16666666666666666,12
47,576,0.4166666666666667,12
48,588,0.0,13
