,t,recall,n
0,12,1.0,500
1,24,0.5,249
2,36,0.5,251
3,48,0.5,127
4,60,0.3333333333333333,123
5,72,0.0,124
6,84,0.16666666666666666,68
7,96,0.0,64
8,108,1.0,500
9,120,0.5,248
10,132,0.5,252
11,144,0.5,126
12,156,0.0,126
13,168,0.0,63
14,180,0.16666666666666666,124
15,192,0.3333333333333333,124
16,204,1.0,500
17,216,1.0,250
18,228,0.0,250
19,240,0.0,125
20,252,0.0,125
21,264,0.0,62
22,276,0.6666666666666666,125
23,288,1.0,500
24,300,0.0,250
25,312,1.0,250
26,324,0.0,125
27,336,0.0,125
28,348,0.0,63
29,360,0.0,62
30,372,1.0,125
31,384,1.0,500
32,396,0.0,250
33,408,1.0,250
34,420,0.0,125
35,432,0.0,125
36,444,0.0,62
37,456,0.0,62
38,468,1.0,500
39,480,1.0,250
40,492,0.0,250
41,504,0.0,125
42,516,0.0,125
43,528,0.0,62
44,540,0.0,63
45,552,0.8333333333333334,125
46,564,1.0,500
47,576,1.0,250
48,588,0.0,250
