,t,precision,n
0,12,0.02,300
1,24,0.0136986301369863,146
2,36,0.025974025974025976,154
3,48,0.012987012987012988,77
4,60,0.027777777777777776,72
5,72,0.0,74
6,84,0.02,300
7,96,0.02666666666666667,150
8,108,0.013333333333333334,150
9,120,0.013333333333333334,75
10,132,0.013333333333333334,75
11,144,0.04,75
12,156,0.02702702702702703,37
13,168,0.02,300
14,180,0.013333333333333334,150
15,192,0.02666666666666667,150
16,204,0.02666666666666667,75
17,216,0.02666666666666667,75
18,228,0.0,75
19,240,0.0,38
20,252,0.05263157894736842,38
21,264,0.02,300
22,276,0.02666666666666667,150
23,288,0.013333333333333334,150
24,300,0.013333333333333334,75
25,312,0.013333333333333334,75
26,324,0.04,75
27,336,0.0,38
28,348,0.02631578947368421,38
29,360,0.02,300
30,372,0.02666666666666667,150
31,384,0.013333333333333334,150
32,396,0.013333333333333334,75
33,408,0.013333333333333334,75
34,420,0.02702702702702703,37
35,432,0.04,75
36,444,0.02,300
37,456,0.013333333333333334,150
38,468,0.02666666666666667,150
39,480,0.013333333333333334,75
40,492,0.013333333333333334,75
41,504,0.05333333333333334,75
42,516,0.0,37
43,528,0.02,300
44,540,0.013333333333333334,150
45,552,0.02666666666666667,150
46,564,0.0,75
47,576,0.02666666666666667,75
48,588,0.0,38
