,t,precision,n
0,12,0.2,50
1,24,0.16,25
2,36,0.24,25
3,48,0.25,12
4,60,0.14285714285714285,14
5,72,0.07692307692307693,13
6,84,0.0,6
7,96,0.14285714285714285,7
8,108,0.3333333333333333,6
9,120,0.2,50
10,132,0.12,25
11,144,0.28,25
12,156,0.07692307692307693,13
13,168,0.16666666666666666,12
14,180,0.3333333333333333,12
15,192,0.0,7
