,t,n
0,12,50
1,24,25
2,36,25
3,48,12
4,60,14
5,72,13
6,84,6
7,96,7
8,108,6
9,120,50
10,132,25
11,144,25
12,156,13
13,168,12
14,180,12
15,192,7
