,t,recall,n
0,12,1.0,50
1,24,0.5,26
2,36,0.5,24
3,48,0.3,13
4,60,0.2,13
5,72,0.1,8
6,84,0.1,6
7,96,0.3,13
8,108,1.0,50
9,120,0.7,25
10,132,0.3,25
11,144,0.1,13
12,156,0.2,12
13,168,0.2,12
14,180,0.0,7
15,192,0.1,6
