,t,recall,n
0,12,1.0,300
1,24,0.3333333333333333,146
2,36,0.6666666666666666,154
3,48,0.16666666666666666,77
4,60,0.3333333333333333,72
5,72,0.0,74
6,84,1.0,300
7,96,0.6666666666666666,150
8,108,0.3333333333333333,150
9,120,0.16666666666666666,75
10,132,0.16666666666666666,75
11,144,0.5,75
12,156,0.16666666666666666,37
13,168,1.0,300
14,180,0.3333333333333333,150
15,192,0.6666666666666666,150
16,204,0.3333333333333333,75
17,216,0.3333333333333333,75
18,228,0.0,75
19,240,0.0,38
20,252,0.3333333333333333,38
21,264,1.0,300
22,276,0.6666666666666666,150
23,288,0.3333333333333333,150
24,300,0.16666666666666666,75
25,312,0.16666666666666666,75
26,324,0.5,75
27,336,0.0,38
28,348,0.16666666666666666,38
29,360,1.0,300
30,372,0.6666666666666666,150
31,384,0.3333333333333333,150
32,396,0.16666666666666666,75
33,408,0.16666666666666666,75
34,420,0.16666666666666666,37
35,432,0.5,75
36,444,1.0,300
37,456,0.3333333333333333,150
38,468,0.6666666666666666,150
39,480,0.16666666666666666,75
40,492,0.16666666666666666,75
41,504,0.6666666666666666,75
42,516,0.0,37
43,528,1.0,300
44,540,0.3333333333333333,150
45,552,0.6666666666666666,150
46,564,0.0,75
47,576,0.3333333333333333,75
48,588,0.0,38
