,t,recall,n
0,12,1.0,300
1,24,0.3333333333333333,162
2,36,0.6666666666666666,138
3,48,0.3333333333333333,63
4,60,0.3333333333333333,75
5,72,0.16666666666666666,38
6,84,1.0,300
7,96,0.3333333333333333,149
8,108,0.6666666666666666,151
9,120,0.0,76
10,132,0.6666666666666666,75
11,144,0.0,38
12,156,0.0,38
13,168,0.0,19
14,180,0.0,19
15,192,0.3333333333333333,37
16,204,1.0,300
17,216,0.5,150
18,228,0.5,150
19,240,0.16666666666666666,75
20,252,0.3333333333333333,75
21,264,0.16666666666666666,37
22,276,0.0,38
23,288,0.0,19
24,300,0.3333333333333333,37
25,312,1.0,300
26,324,0.5,150
27,336,0.5,150
28,348,0.5,75
29,360,0.0,75
30,372,0.0,37
31,384,0.0,38
32,396,0.16666666666666666,38
33,408,0.0,19
34,420,0.0,18
35,432,1.0,300
36,444,0.5,150
37,456,0.5,150
38,468,0.5,75
39,480,0.0,75
40,492,0.0,37
41,504,0.3333333333333333,37
42,516,1.0,300
43,528,0.5,150
44,540,0.5,150
45,552,0.5,75
46,564,0.0,75
47,576,0.0,38
48,588,0.5,75
