,t,n
0,12,50
1,24,26
2,36,24
3,48,13
4,60,13
5,72,8
6,84,6
7,96,13
8,108,50
9,120,25
10,132,25
11,144,13
12,156,12
13,168,12
14,180,7
15,192,6
