,t,n
0,12,100
1,24,56
2,36,44
3,48,22
4,60,28
5,72,22
6,84,100
7,96,51
8,108,49
9,120,26
10,132,25
11,144,25
12,156,24
13,168,100
14,180,50
15,192,50
16,204,25
17,216,25
18,228,25
19,240,25
20,252,100
21,264,50
22,276,50
23,288,25
24,300,25
25,312,25
26,324,25
27,336,100
28,348,50
29,360,50
30,372,25
31,384,25
32,396,25
33,408,25
34,420,100
35,432,50
36,444,50
37,456,25
38,468,25
39,480,25
40,492,25
41,504,100
42,516,50
43,528,50
44,540,25
45,552,25
46,564,25
47,576,25
48,588,100
