,t,precision,n
0,12,0.1,100
1,24,0.07142857142857142,56
2,36,0.13636363636363635,44
3,48,0.18181818181818182,22
4,60,0.07142857142857142,28
5,72,0.09090909090909091,22
6,84,0.1,100
7,96,0.058823529411764705,51
8,108,0.14285714285714285,49
9,120,0.038461538461538464,26
10,132,0.16,25
11,144,0.08,25
12,156,0.125,24
13,168,0.1,100
14,180,0.06,50
15,192,0.14,50
16,204,0.0,25
17,216,0.24,25
18,228,0.12,25
19,240,0.04,25
20,252,0.1,100
21,264,0.06,50
22,276,0.14,50
23,288,0.0,25
24,300,0.28,25
25,312,0.12,25
26,324,0.0,25
27,336,0.1,100
28,348,0.06,50
29,360,0.14,50
30,372,0.12,25
31,384,0.28,25
32,396,0.0,25
33,408,0.0,25
34,420,0.1,100
35,432,0.06,50
36,444,0.14,50
37,456,0.0,25
38,468,0.0,25
39,480,0.12,25
40,492,0.28,25
41,504,0.1,100
42,516,0.14,50
43,528,0.06,50
44,540,0.0,25
45,552,0.0,25
46,564,0.12,25
47,576,0.28,25
48,588,0.1,100
