,t,recall,n
0,12,1.0,100
1,24,0.4,56
2,36,0.6,44
3,48,0.4,22
4,60,0.2,28
5,72,0.2,22
6,84,1.0,100
7,96,0.3,51
8,108,0.7,49
9,120,0.1,26
10,132,0.4,25
11,144,0.2,25
12,156,0.3,24
13,168,1.0,100
14,180,0.3,50
15,192,0.7,50
16,204,0.0,25
17,216,0.6,25
18,228,0.3,25
19,240,0.1,25
20,252,1.0,100
21,264,0.3,50
22,276,0.7,50
23,288,0.0,25
24,300,0.7,25
25,312,0.3,25
26,324,0.0,25
27,336,1.0,100
28,348,0.3,50
29,360,0.7,50
30,372,0.3,25
31,384,0.7,25
32,396,0.0,25
33,408,0.0,25
34,420,1.0,100
35,432,0.3,50
36,444,0.7,50
37,456,0.0,25
38,468,0.0,25
39,480,0.3,25
40,492,0.7,25
41,504,1.0,100
42,516,0.7,50
43,528,0.3,50
44,540,0.0,25
45,552,0.0,25
46,564,0.3,25
47,576,0.7,25
48,588,1.0,100
