,t,n
0,12,500
1,24,258
2,36,242
3,48,115
4,60,130
5,72,128
6,84,66
7,96,68
8,108,500
9,120,250
10,132,250
11,144,125
12,156,125
13,168,62
14,180,62
15,192,500
16,204,250
17,216,250
18,228,125
19,240,125
20,252,62
21,264,63
22,276,63
23,288,62
24,300,500
25,312,250
26,324,250
27,336,125
28,348,125
29,360,63
30,372,63
31,384,62
32,396,32
33,408,62
34,420,500
35,432,250
36,444,250
37,456,125
38,468,125
39,480,62
40,492,62
41,504,500
42,516,250
43,528,250
44,540,125
45,552,125
46,564,63
47,576,63
48,588,62
