,t,precision,n
0,12,0.012,500
1,24,0.00816326530612245,245
2,36,0.01568627450980392,255
3,48,0.015384615384615385,130
4,60,0.016,125
5,72,0.0,65
6,84,0.03076923076923077,65
7,96,0.03125,32
8,108,0.0,33
9,120,0.012,500
10,132,0.008032128514056224,249
11,144,0.01593625498007968,251
12,156,0.016,125
13,168,0.015873015873015872,126
14,180,0.015873015873015872,63
15,192,0.015873015873015872,63
16,204,0.03225806451612903,62
17,216,0.012,500
18,228,0.012,250
19,240,0.012,250
20,252,0.016,125
21,264,0.008,125
22,276,0.03225806451612903,62
23,288,0.0,63
24,300,0.0,31
25,312,0.016129032258064516,62
26,324,0.012,500
27,336,0.012,250
28,348,0.012,250
29,360,0.016,125
30,372,0.008,125
31,384,0.0,63
32,396,0.016129032258064516,62
33,408,0.024,125
34,420,0.012,500
35,432,0.008,250
36,444,0.016,250
37,456,0.008,125
38,468,0.008,125
39,480,0.016129032258064516,62
40,492,0.024,125
41,504,0.012,500
42,516,0.004,250
43,528,0.02,250
44,540,0.0,125
45,552,0.008,125
46,564,0.0,63
47,576,0.032,125
48,588,0.0,62
