,t,recall,n
0,12,1.0,500
1,24,0.3333333333333333,245
2,36,0.6666666666666666,255
3,48,0.3333333333333333,130
4,60,0.3333333333333333,125
5,72,0.0,65
6,84,0.3333333333333333,65
7,96,0.16666666666666666,32
8,108,0.0,33
9,120,1.0,500
10,132,0.3333333333333333,249
11,144,0.6666666666666666,251
12,156,0.3333333333333333,125
13,168,0.3333333333333333,126
14,180,0.16666666666666666,63
15,192,0.16666666666666666,63
16,204,0.3333333333333333,62
17,216,1.0,500
18,228,0.5,250
19,240,0.5,250
20,252,0.3333333333333333,125
21,264,0.16666666666666666,125
22,276,0.3333333333333333,62
23,288,0.0,63
24,300,0.0,31
25,312,0.16666666666666666,62
26,324,1.0,500
27,336,0.5,250
28,348,0.5,250
29,360,0.3333333333333333,125
30,372,0.16666666666666666,125
31,384,0.0,63
32,396,0.16666666666666666,62
33,408,0.5,125
34,420,1.0,500
35,432,0.3333333333333333,250
36,444,0.6666666666666666,250
37,456,0.16666666666666666,125
38,468,0.16666666666666666,125
39,480,0.16666666666666666,62
40,492,0.5,125
41,504,1.0,500
42,516,0.16666666666666666,250
43,528,0.8333333333333334,250
44,540,0.0,125
45,552,0.16666666666666666,125
46,564,0.0,63
47,576,0.6666666666666666,125
48,588,0.0,62
