,t,n
0,12,100
1,24,49
2,36,51
3,48,27
4,60,24
5,72,23
6,84,15
7,96,12
8,108,100
9,120,49
10,132,51
11,144,25
12,156,24
13,168,26
14,180,13
15,192,12
16,204,100
17,216,50
18,228,50
19,240,25
20,252,25
21,264,25
22,276,13
23,288,13
24,300,100
25,312,50
26,324,50
27,336,25
28,348,25
29,360,25
30,372,13
31,384,12
32,396,100
33,408,50
34,420,50
35,432,25
36,444,25
37,456,25
38,468,12
39,480,13
40,492,100
41,504,50
42,516,50
43,528,25
44,540,25
45,552,25
46,564,12
47,576,100
48,588,50
