,t,recall,n
0,12,1.0,100
1,24,0.3333333333333333,49
2,36,0.6666666666666666,51
3,48,0.3333333333333333,27
4,60,0.3333333333333333,24
5,72,0.16666666666666666,23
6,84,0.16666666666666666,15
7,96,0.0,12
8,108,1.0,100
9,120,0.3333333333333333,49
10,132,0.6666666666666666,51
11,144,0.5,25
12,156,0.16666666666666666,24
13,168,0.16666666666666666,26
14,180,0.16666666666666666,13
15,192,0.16666666666666666,12
16,204,1.0,100
17,216,0.5,50
18,228,0.5,50
19,240,0.3333333333333333,25
20,252,0.3333333333333333,25
21,264,0.16666666666666666,25
22,276,0.16666666666666666,13
23,288,0.16666666666666666,13
24,300,1.0,100
25,312,0.5,50
26,324,0.5,50
27,336,0.16666666666666666,25
28,348,0.5,25
29,360,0.3333333333333333,25
30,372,0.16666666666666666,13
31,384,0.16666666666666666,12
32,396,1.0,100
33,408,0.5,50
34,420,0.5,50
35,432,0.3333333333333333,25
36,444,0.16666666666666666,25
37,456,0.0,25
38,468,0.0,12
39,480,0.16666666666666666,13
40,492,1.0,100
41,504,0.3333333333333333,50
42,516,0.6666666666666666,50
43,528,0.3333333333333333,25
44,540,0.0,25
45,552,0.5,25
46,564,0.0,12
47,576,1.0,100
48,588,0.6666666666666666,50
