,t,precision,n
0,12,0.06,100
1,24,0.04081632653061224,49
2,36,0.0784313725490196,51
3,48,0.07407407407407407,27
4,60,0.08333333333333333,24
5,72,0.043478260869565216,23
6,84,0.06666666666666667,15
7,96,0.0,12
8,108,0.06,100
9,120,0.04081632653061224,49
10,132,0.0784313725490196,51
11,144,0.12,25
12,156,0.041666666666666664,24
13,168,0.038461538461538464,26
14,180,0.07692307692307693,13
15,192,0.08333333333333333,12
16,204,0.06,100
17,216,0.06,50
18,228,0.06,50
19,240,0.08,25
20,252,0.08,25
21,264,0.04,25
22,276,0.07692307692307693,13
23,288,0.07692307692307693,13
24,300,0.06,100
25,312,0.06,50
26,324,0.06,50
27,336,0.04,25
28,348,0.12,25
29,360,0.08,25
30,372,0.07692307692307693,13
31,384,0.08333333333333333,12
32,396,0.06,100
33,408,0.06,50
34,420,0.06,50
35,432,0.08,25
36,444,0.04,25
37,456,0.0,25
38,468,0.0,12
39,480,0.07692307692307693,13
40,492,0.06,100
41,504,0.04,50
42,516,0.08,50
43,528,0.08,25
44,540,0.0,25
45,552,0.12,25
46,564,0.0,12
47,576,0.06,100
48,588,0.08,50
