,t,recall,n
0,12,1.0,100
1,24,0.5,49
2,36,0.5,51
3,48,0.1,26
4,60,0.2,24
5,72,0.4,25
6,84,0.1,13
7,96,1.0,100
8,108,0.3,50
9,120,0.7,50
10,132,0.3,25
11,144,0.1,25
12,156,0.0,25
13,168,0.6,25
14,180,1.0,100
15,192,0.9,50
16,204,0.1,50
17,216,0.0,25
18,228,0.6,25
19,240,0.1,25
20,252,0.0,13
21,264,0.3,25
22,276,1.0,100
23,288,0.9,50
24,300,0.1,50
25,312,0.1,25
26,324,0.2,25
27,336,0.0,25
28,348,0.7,25
29,360,1.0,100
30,372,0.9,50
31,384,0.1,50
32,396,0.1,25
33,408,0.2,25
34,420,0.0,25
35,432,0.7,25
36,444,1.0,100
37,456,0.9,50
38,468,0.1,50
39,480,0.1,25
40,492,0.7,25
41,504,0.0,25
42,516,0.2,25
43,528,1.0,100
44,540,0.9,50
45,552,0.1,50
46,564,0.0,25
47,576,0.7,25
48,588,0.1,25
