,x,y
0,10,-154.22423772686122
1,13,-154.22423772686122
2,16,-154.22423772686122
3,19,-123.15655625330405
4,22,-118.47457985446503
5,25,-115.16951027453453
6,28,-115.16951027453453
7,31,-115.16951027453453
8,34,-115.16951027453453
9,37,-115.16951027453453
10,40,-115.16951027453453
11,43,-115.16951027453453
12,46,-115.16951027453453
13,49,-115.16951027453453
14,52,-115.16951027453453
15,55,-115.16951027453453
16,58,-115.16951027453453
17,61,-115.16951027453453
18,64,-115.16951027453453
19,67,-115.16951027453453
20,70,-115.16951027453453
21,73,-115.16951027453453
22,76,-115.16951027453453
23,79,-115.16951027453453
24,82,-115.16951027453453
25,85,-115.16951027453453
26,88,-79.1787137311301
27,91,-79.1787137311301
28,94,-79.1787137311301
29,97,-79.1787137311301
30,100,-79.1787137311301
31,103,-79.1787137311301
32,106,-79.1787137311301
33,109,-79.1787137311301
34,112,-79.1787137311301
35,115,-79.1787137311301
36,118,-79.1787137311301
37,121,-79.1787137311301
38,124,-79.1787137311301
39,127,-79.1787137311301
40,130,-79.1787137311301
41,133,-79.1787137311301
42,136,-79.1787137311301
43,139,-79.1787137311301
44,142,-79.1787137311301
45,145,-79.1787137311301
46,148,-79.1787137311301
47,151,-79.1787137311301
48,154,-79.1787137311301
49,157,-79.1787137311301
50,160,-79.1787137311301
51,163,-79.1787137311301
52,166,-79.1787137311301
53,169,-79.1787137311301
54,172,-79.1787137311301
55,175,-79.1787137311301
56,178,-79.1787137311301
57,181,-79.1787137311301
58,184,-79.1787137311301
59,187,-79.1787137311301
60,190,-79.1787137311301
61,193,-79.1787137311301
62,196,-79.1787137311301
63,199,-79.1787137311301
64,202,-79.1787137311301
65,205,-79.1787137311301
66,208,-79.1787137311301
67,211,-79.1787137311301
68,214,-79.1787137311301
69,217,-79.1787137311301
70,220,-79.1787137311301
71,223,-79.1787137311301
72,226,-79.1787137311301
73,229,-79.1787137311301
74,232,-79.1787137311301
75,235,-79.1787137311301
76,238,-79.1787137311301
77,241,-79.1787137311301
78,244,-79.1787137311301
79,247,-79.1787137311301
80,250,-79.1787137311301
81,253,-79.1787137311301
82,256,-79.1787137311301
83,259,-79.1787137311301
84,262,-79.1787137311301
85,265,-79.1787137311301
86,268,-79.1787137311301
87,271,-79.1787137311301
88,274,-79.1787137311301
89,277,-79.1787137311301
90,280,-79.1787137311301
91,283,-79.1787137311301
92,286,-79.1787137311301
93,289,-79.1787137311301
94,292,-79.1787137311301
95,295,-79.1787137311301
96,298,-79.1787137311301
97,301,-79.1787137311301
