,t,precision,n
0,12,0.2,50
1,24,0.16,25
2,36,0.24,25
3,48,0.25,12
4,60,0.15384615384615385,13
5,72,0.07692307692307693,13
6,84,0.3333333333333333,12
7,96,0.2,50
8,108,0.28,25
9,120,0.12,25
10,132,0.07692307692307693,13
11,144,0.4166666666666667,12
12,156,0.16666666666666666,12
13,168,0.15384615384615385,13
14,180,0.2,50
15,192,0.04,25
16,204,0.36,25
17,216,0.07692307692307693,13
18,228,0.4166666666666667,12
19,240,0.0,12
20,252,0.3076923076923077,13
21,264,0.2,50
22,276,0.36,25
23,288,0.04,25
24,300,0.07692307692307693,13
25,312,0.15384615384615385,13
26,324,0.0,12
27,336,0.5833333333333334,12
28,348,0.2,50
29,360,0.36,25
30,372,0.04,25
31,384,0.0,12
32,396,0.15384615384615385,13
33,408,0.07692307692307693,13
34,420,0.5833333333333334,12
35,432,0.2,50
36,444,0.36,25
37,456,0.04,25
38,468,0.0,12
39,480,0.6666666666666666,12
40,492,0.07692307692307693,13
41,504,0.14285714285714285,7
42,516,0.07692307692307693,13
43,528,0.2,50
44,540,0.36,25
45,552,0.04,25
46,564,0.07692307692307693,13
47,576,0.5833333333333334,12
48,588,0.0,12
