,t,n
0,12,50
1,24,25
2,36,25
3,48,12
4,60,13
5,72,13
6,84,12
7,96,50
8,108,25
9,120,25
10,132,13
11,144,12
12,156,12
13,168,13
14,180,50
15,192,25
16,204,25
17,216,13
18,228,12
19,240,12
20,252,13
21,264,50
22,276,25
23,288,25
24,300,13
25,312,13
26,324,12
27,336,12
28,348,50
29,360,25
30,372,25
31,384,12
32,396,13
33,408,13
34,420,12
35,432,50
36,444,25
37,456,25
38,468,12
39,480,12
40,492,13
41,504,7
42,516,13
43,528,50
44,540,25
45,552,25
46,564,13
47,576,12
48,588,12
