,t,n
0,12,300
1,24,162
2,36,138
3,48,63
4,60,75
5,72,38
6,84,300
7,96,149
8,108,151
9,120,76
10,132,75
11,144,38
12,156,38
13,168,19
14,180,19
15,192,37
16,204,300
17,216,150
18,228,150
19,240,75
20,252,75
21,264,37
22,276,38
23,288,19
24,300,37
25,312,300
26,324,150
27,336,150
28,348,75
29,360,75
30,372,37
31,384,38
32,396,38
33,408,19
34,420,18
35,432,300
36,444,150
37,456,150
38,468,75
39,480,75
40,492,37
41,504,37
42,516,300
43,528,150
44,540,150
45,552,75
46,564,75
47,576,38
48,588,75
