,t,precision,n
0,12,0.02,300
1,24,0.012345679012345678,162
2,36,0.028985507246376812,138
3,48,0.031746031746031744,63
4,60,0.02666666666666667,75
5,72,0.02631578947368421,38
6,84,0.02,300
7,96,0.013422818791946308,149
8,108,0.026490066225165563,151
9,120,0.0,76
10,132,0.05333333333333334,75
11,144,0.0,38
12,156,0.0,38
13,168,0.0,19
14,180,0.0,19
15,192,0.05405405405405406,37
16,204,0.02,300
17,216,0.02,150
18,228,0.02,150
19,240,0.013333333333333334,75
20,252,0.02666666666666667,75
21,264,0.02702702702702703,37
22,276,0.0,38
23,288,0.0,19
24,300,0.05405405405405406,37
25,312,0.02,300
26,324,0.02,150
27,336,0.02,150
28,348,0.04,75
29,360,0.0,75
30,372,0.0,37
31,384,0.0,38
32,396,0.02631578947368421,38
33,408,0.0,19
34,420,0.0,18
35,432,0.02,300
36,444,0.02,150
37,456,0.02,150
38,468,0.04,75
39,480,0.0,75
40,492,0.0,37
41,504,0.05405405405405406,37
42,516,0.02,300
43,528,0.02,150
44,540,0.02,150
45,552,0.04,75
46,564,0.0,75
47,576,0.0,38
48,588,0.04,75
