,t,precision,n
0,12,0.02,300
1,24,0.012578616352201259,159
2,36,0.028368794326241134,141
3,48,0.024390243902439025,82
4,60,0.0,77
5,72,0.024390243902439025,41
6,84,0.024390243902439025,41
7,96,0.0,20
8,108,0.0,21
9,120,0.02,300
10,132,0.02666666666666667,150
11,144,0.013333333333333334,150
12,156,0.013333333333333334,75
13,168,0.013333333333333334,75
14,180,0.0,37
15,192,0.02631578947368421,38
16,204,0.05263157894736842,19
17,216,0.0,19
18,228,0.02702702702702703,37
19,240,0.02,300
20,252,0.02666666666666667,150
21,264,0.013333333333333334,150
22,276,0.013333333333333334,75
23,288,0.013333333333333334,75
24,300,0.0,37
25,312,0.0,38
26,324,0.02631578947368421,38
27,336,0.0,19
28,348,0.02,300
29,360,0.013333333333333334,150
30,372,0.02666666666666667,150
31,384,0.013333333333333334,75
32,396,0.013333333333333334,75
33,408,0.0,37
34,420,0.02702702702702703,37
35,432,0.02,300
36,444,0.013333333333333334,150
37,456,0.02666666666666667,150
38,468,0.013333333333333334,75
39,480,0.013333333333333334,75
40,492,0.02702702702702703,37
41,504,0.0,38
42,516,0.0,38
43,528,0.0,19
44,540,0.02,300
45,552,0.02666666666666667,150
46,564,0.013333333333333334,150
47,576,0.0,75
48,588,0.02666666666666667,75
