,t,precision,n
0,12,0.2,50
1,24,0.24,25
2,36,0.16,25
3,48,0.08333333333333333,12
4,60,0.23076923076923078,13
5,72,0.23076923076923078,13
6,84,0.25,12
7,96,0.2,50
8,108,0.28,25
9,120,0.12,25
10,132,0.0,12
11,144,0.23076923076923078,13
12,156,0.23076923076923078,13
13,168,0.3333333333333333,12
14,180,0.2,50
15,192,0.16,25
16,204,0.24,25
17,216,0.16666666666666666,12
18,228,0.3333333333333333,12
19,240,0.15384615384615385,13
20,252,0.15384615384615385,13
21,264,0.2,50
22,276,0.08,25
23,288,0.32,25
24,300,0.15384615384615385,13
25,312,0.25,12
26,324,0.0,12
27,336,0.38461538461538464,13
28,348,0.2,50
29,360,0.08,25
30,372,0.32,25
31,384,0.15384615384615385,13
32,396,0.15384615384615385,13
33,408,0.0,12
34,420,0.5,12
35,432,0.2,50
36,444,0.32,25
37,456,0.08,25
38,468,0.0,12
39,480,0.15384615384615385,13
40,492,0.15384615384615385,13
41,504,0.5,12
42,516,0.2,50
43,528,0.08,25
44,540,0.32,25
45,552,0.07692307692307693,13
46,564,0.15384615384615385,13
47,576,0.08333333333333333,12
48,588,0.5,12
