,t,recall,n
0,12,1.0,50
1,24,0.6,25
2,36,0.4,25
3,48,0.1,12
4,60,0.3,13
5,72,0.3,13
6,84,0.3,12
7,96,1.0,50
8,108,0.7,25
9,120,0.3,25
10,132,0.0,12
11,144,0.3,13
12,156,0.3,13
13,168,0.4,12
14,180,1.0,50
15,192,0.4,25
16,204,0.6,25
17,216,0.2,12
18,228,0.4,12
19,240,0.2,13
20,252,0.2,13
21,264,1.0,50
22,276,0.2,25
23,288,0.8,25
24,300,0.2,13
25,312,0.3,12
26,324,0.0,12
27,336,0.5,13
28,348,1.0,50
29,360,0.2,25
30,372,0.8,25
31,384,0.2,13
32,396,0.2,13
33,408,0.0,12
34,420,0.6,12
35,432,1.0,50
36,444,0.8,25
37,456,0.2,25
38,468,0.0,12
39,480,0.2,13
40,492,0.2,13
41,504,0.6,12
42,516,1.0,50
43,528,0.2,25
44,540,0.8,25
45,552,0.1,13
46,564,0.2,13
47,576,0.1,12
48,588,0.6,12
