,t,precision,n
0,12,0.2,50
1,24,0.24,25
2,36,0.16,25
3,48,0.4166666666666667,12
4,60,0.25,12
5,72,0.07692307692307693,13
6,84,0.0,7
7,96,0.07692307692307693,13
8,108,0.2,50
9,120,0.32,25
10,132,0.08,25
11,144,0.07692307692307693,13
12,156,0.5833333333333334,12
13,168,0.08333333333333333,12
14,180,0.0,7
15,192,0.07692307692307693,13
16,204,0.2,50
17,216,0.32,25
18,228,0.08,25
19,240,0.0,13
20,252,0.5833333333333334,12
21,264,0.16666666666666666,12
22,276,0.07692307692307693,13
23,288,0.2,50
24,300,0.08,25
25,312,0.32,25
26,324,0.0,13
27,336,0.5833333333333334,12
28,348,0.16666666666666666,12
29,360,0.07692307692307693,13
30,372,0.2,50
31,384,0.08,25
32,396,0.32,25
33,408,0.0,13
34,420,0.5,12
35,432,0.16666666666666666,12
36,444,0.15384615384615385,13
37,456,0.2,50
38,468,0.36,25
39,480,0.04,25
40,492,0.08333333333333333,12
41,504,0.5,12
42,516,0.0,13
43,528,0.23076923076923078,13
44,540,0.2,50
45,552,0.04,25
46,564,0.36,25
47,576,0.08333333333333333,12
48,588,0.5,12
