,t,recall,n
0,12,1.0,50
1,24,0.6,25
2,36,0.4,25
3,48,0.5,12
4,60,0.3,12
5,72,0.1,13
6,84,0.0,7
7,96,0.1,13
8,108,1.0,50
9,120,0.8,25
10,132,0.2,25
11,144,0.1,13
12,156,0.7,12
13,168,0.1,12
14,180,0.0,7
15,192,0.1,13
16,204,1.0,50
17,216,0.8,25
18,228,0.2,25
19,240,0.0,13
20,252,0.7,12
21,264,0.2,12
22,276,0.1,13
23,288,1.0,50
24,300,0.2,25
25,312,0.8,25
26,324,0.0,13
27,336,0.7,12
28,348,0.2,12
29,360,0.1,13
30,372,1.0,50
31,384,0.2,25
32,396,0.8,25
33,408,0.0,13
34,420,0.6,12
35,432,0.2,12
36,444,0.2,13
37,456,1.0,50
38,468,0.9,25
39,480,0.1,25
40,492,0.1,12
41,504,0.6,12
42,516,0.0,13
43,528,0.3,13
44,540,1.0,50
45,552,0.1,25
46,564,0.9,25
47,576,0.1,12
48,588,0.6,12
