,t,precision,n
0,12,0.06,100
1,24,0.037037037037037035,54
2,36,0.08695652173913043,46
3,48,0.06451612903225806,31
4,60,0.05,20
5,72,0.0,23
6,84,0.07142857142857142,14
7,96,0.06,100
8,108,0.06,50
9,120,0.06,50
10,132,0.04,25
11,144,0.04,25
12,156,0.08,25
13,168,0.07692307692307693,13
14,180,0.08333333333333333,12
15,192,0.06,100
16,204,0.08,50
17,216,0.04,50
18,228,0.0,25
19,240,0.08,25
20,252,0.15384615384615385,13
21,264,0.0,12
22,276,0.14285714285714285,7
23,288,0.0,13
24,300,0.0,6
25,312,0.06,100
26,324,0.08,50
27,336,0.04,50
28,348,0.08,25
29,360,0.0,25
30,372,0.07692307692307693,13
31,384,0.08333333333333333,12
32,396,0.0,13
33,408,0.0,7
34,420,0.16666666666666666,6
35,432,0.06,100
36,444,0.04,50
37,456,0.08,50
38,468,0.08,25
39,480,0.0,25
40,492,0.0,13
41,504,0.0,13
42,516,0.16666666666666666,12
43,528,0.0,7
44,540,0.16666666666666666,6
45,552,0.06,100
46,564,0.04,50
47,576,0.08,50
48,588,0.0,25
