,t,recall,n
0,12,1.0,100
1,24,0.3333333333333333,54
2,36,0.6666666666666666,46
3,48,0.3333333333333333,31
4,60,0.16666666666666666,20
5,72,0.0,23
6,84,0.16666666666666666,14
7,96,1.0,100
8,108,0.5,50
9,120,0.5,50
10,132,0.16666666666666666,25
11,144,0.16666666666666666,25
12,156,0.3333333333333333,25
13,168,0.16666666666666666,13
14,180,0.16666666666666666,12
15,192,1.0,100
16,204,0.6666666666666666,50
17,216,0.3333333333333333,50
18,228,0.0,25
19,240,0.3333333333333333,25
20,252,0.3333333333333333,13
21,264,0.0,12
22,276,0.16666666666666666,7
23,288,0.0,13
24,300,0.0,6
25,312,1.0,100
26,324,0.6666666666666666,50
27,336,0.3333333333333333,50
28,348,0.3333333333333333,25
29,360,0.0,25
30,372,0.16666666666666666,13
31,384,0.16666666666666666,12
32,396,0.0,13
33,408,0.0,7
34,420,0.16666666666666666,6
35,432,1.0,100
36,444,0.3333333333333333,50
37,456,0.6666666666666666,50
38,468,0.3333333333333333,25
39,480,0.0,25
40,492,0.0,13
41,504,0.0,13
42,516,0.3333333333333333,12
43,528,0.0,7
44,540,0.16666666666666666,6
45,552,1.0,100
46,564,0.3333333333333333,50
47,576,0.6666666666666666,50
48,588,0.0,25
