,t,precision,n
0,12,0.06,100
1,24,0.0784313725490196,51
2,36,0.04081632653061224,49
3,48,0.07692307692307693,26
4,60,0.08,25
5,72,0.0,13
6,84,0.15384615384615385,13
7,96,0.14285714285714285,7
8,108,0.16666666666666666,6
9,120,0.3333333333333333,3
10,132,0.06,100
11,144,0.08163265306122448,49
12,156,0.0392156862745098,51
13,168,0.0,25
14,180,0.07692307692307693,26
15,192,0.07692307692307693,13
16,204,0.07692307692307693,13
17,216,0.0,7
18,228,0.16666666666666666,6
19,240,0.14285714285714285,7
20,252,0.06,100
21,264,0.08,50
22,276,0.04,50
23,288,0.04,25
24,300,0.04,25
25,312,0.0,13
26,324,0.08333333333333333,12
27,336,0.0,7
28,348,0.0,12
29,360,0.06,100
30,372,0.04,50
31,384,0.08,50
32,396,0.0,25
33,408,0.08,25
34,420,0.0,12
35,432,0.0,13
36,444,0.07692307692307693,13
37,456,0.0,6
38,468,0.06,100
39,480,0.04,50
40,492,0.08,50
41,504,0.0,25
42,516,0.08,25
43,528,0.0,13
44,540,0.0,12
45,552,0.16666666666666666,12
46,564,0.06,100
47,576,0.04,50
48,588,0.08,50
