,t,recall,n
0,12,1.0,100
1,24,0.6666666666666666,51
2,36,0.3333333333333333,49
3,48,0.3333333333333333,26
4,60,0.3333333333333333,25
5,72,0.0,13
6,84,0.3333333333333333,13
7,96,0.16666666666666666,7
8,108,0.16666666666666666,6
9,120,0.16666666666666666,3
10,132,1.0,100
11,144,0.6666666666666666,49
12,156,0.3333333333333333,51
13,168,0.0,25
14,180,0.3333333333333333,26
15,192,0.16666666666666666,13
16,204,0.16666666666666666,13
17,216,0.0,7
18,228,0.16666666666666666,6
19,240,0.16666666666666666,7
20,252,1.0,100
21,264,0.6666666666666666,50
22,276,0.3333333333333333,50
23,288,0.16666666666666666,25
24,300,0.16666666666666666,25
25,312,0.0,13
26,324,0.16666666666666666,12
27,336,0.0,7
28,348,0.0,12
29,360,1.0,100
30,372,0.3333333333333333,50
31,384,0.6666666666666666,50
32,396,0.0,25
33,408,0.3333333333333333,25
34,420,0.0,12
35,432,0.0,13
36,444,0.16666666666666666,13
37,456,0.0,6
38,468,1.0,100
39,480,0.3333333333333333,50
40,492,0.6666666666666666,50
41,504,0.0,25
42,516,0.3333333333333333,25
43,528,0.0,13
44,540,0.0,12
45,552,0.3333333333333333,12
46,564,1.0,100
47,576,0.3333333333333333,50
48,588,0.6666666666666666,50
