,t,precision,n
0,12,0.06,100
1,24,0.023255813953488372,43
2,36,0.08771929824561403,57
3,48,0.1111111111111111,27
4,60,0.0,21
5,72,0.06666666666666667,30
6,84,0.13333333333333333,15
7,96,0.06,100
8,108,0.04,50
9,120,0.08,50
10,132,0.04,25
11,144,0.12,25
12,156,0.08333333333333333,12
13,168,0.0,13
14,180,0.15384615384615385,13
15,192,0.08,25
16,204,0.06,100
17,216,0.06,50
18,228,0.06,50
19,240,0.0,25
20,252,0.12,25
21,264,0.0,13
22,276,0.0,12
23,288,0.08,25
24,300,0.07692307692307693,13
25,312,0.06,100
26,324,0.1,50
27,336,0.02,50
28,348,0.04,25
29,360,0.0,25
30,372,0.0,12
31,384,0.0,13
32,396,0.12,25
33,408,0.06,100
34,420,0.02,50
35,432,0.1,50
36,444,0.0,25
37,456,0.04,25
38,468,0.16,25
39,480,0.0,13
40,492,0.0,13
41,504,0.06,100
42,516,0.02,50
43,528,0.1,50
44,540,0.0,25
45,552,0.04,25
46,564,0.0,13
47,576,0.16,25
48,588,0.08333333333333333,12
