,t,recall,n
0,12,1.0,100
1,24,0.16666666666666666,43
2,36,0.8333333333333334,57
3,48,0.5,27
4,60,0.0,21
5,72,0.3333333333333333,30
6,84,0.3333333333333333,15
7,96,1.0,100
8,108,0.3333333333333333,50
9,120,0.6666666666666666,50
10,132,0.16666666666666666,25
11,144,0.5,25
12,156,0.16666666666666666,12
13,168,0.0,13
14,180,0.3333333333333333,13
15,192,0.3333333333333333,25
16,204,1.0,100
17,216,0.5,50
18,228,0.5,50
19,240,0.0,25
20,252,0.5,25
21,264,0.0,13
22,276,0.0,12
23,288,0.3333333333333333,25
24,300,0.16666666666666666,13
25,312,1.0,100
26,324,0.8333333333333334,50
27,336,0.16666666666666666,50
28,348,0.16666666666666666,25
29,360,0.0,25
30,372,0.0,12
31,384,0.0,13
32,396,0.5,25
33,408,1.0,100
34,420,0.16666666666666666,50
35,432,0.8333333333333334,50
36,444,0.0,25
37,456,0.16666666666666666,25
38,468,0.6666666666666666,25
39,480,0.0,13
40,492,0.0,13
41,504,1.0,100
42,516,0.16666666666666666,50
43,528,0.8333333333333334,50
44,540,0.0,25
45,552,0.16666666666666666,25
46,564,0.0,13
47,576,0.6666666666666666,25
48,588,0.16666666666666666,12
